Date : 2026-04-06 01:38:50
Directory : c:\Users\Boungo\Desktop\perso\levelUp
Total : 107 files,  25094 codes, 341 comments, 1088 blanks, all 26523 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\components\auth-form.tsx                       | TypeScript JSX     |        114 |          0 |         10 |        124 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\hooks\use-auth.ts                              | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\stores\auth-store.ts                           | TypeScript         |         55 |          0 |          9 |         64 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\avatar\renderer\pixel-avatar.tsx                    | TypeScript JSX     |        245 |         34 |         25 |        304 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\__tests__\daily-quest-card.test.tsx    | TypeScript JSX     |        112 |          0 |         20 |        132 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\__tests__\daily-quests-store.test.ts   | TypeScript         |        219 |          6 |         44 |        269 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\components\daily-quest-card.tsx        | TypeScript JSX     |        181 |          4 |         11 |        196 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\components\daily-quests-section.tsx    | TypeScript JSX     |        100 |          1 |          9 |        110 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\hooks\use-daily-quests.ts              | TypeScript         |         20 |          0 |          4 |         24 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\index.ts                               | TypeScript         |         16 |          0 |          1 |         17 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\stores\daily-quests-store.ts           | TypeScript         |        148 |         10 |         29 |        187 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\components\achievement-card.tsx        | TypeScript JSX     |        105 |          0 |          5 |        110 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\components\xp-bar.tsx                  | TypeScript JSX     |         56 |          0 |          4 |         60 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\hooks\use-profile-stats.ts             | TypeScript         |         47 |          0 |         10 |         57 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\stores\achievements-store.ts           | TypeScript         |        159 |         11 |         34 |        204 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\stores\level-up-store.ts               | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\habits-store.test.ts               | TypeScript         |         86 |          2 |         16 |        104 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\punishment.test.ts                 | TypeScript         |         26 |          0 |          6 |         32 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\streak-calculator.test.ts          | TypeScript         |         68 |          0 |         15 |         83 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\streak-freeze.test.ts              | TypeScript         |         56 |          4 |         12 |         72 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\xp-formula.test.ts                 | TypeScript         |         96 |          0 |         25 |        121 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\content-picker.tsx                | TypeScript JSX     |        394 |          8 |         21 |        423 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\habit-card.tsx                    | TypeScript JSX     |        139 |          1 |          7 |        147 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\habit-checklist.tsx               | TypeScript JSX     |        147 |          3 |          9 |        159 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\habit-list.tsx                    | TypeScript JSX     |        123 |          0 |          9 |        132 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\habit-timer.tsx                   | TypeScript JSX     |        230 |          5 |         20 |        255 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\weekly-chart.tsx                  | TypeScript JSX     |         89 |          1 |          7 |         97 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\hooks\use-stats.ts                           | TypeScript         |         92 |          6 |         20 |        118 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\stores\habits-store.ts                       | TypeScript         |        152 |         14 |         32 |        198 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\types\habit-content.ts                       | TypeScript         |         29 |          0 |          4 |         33 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\utils\punishment.ts                          | TypeScript         |         20 |          8 |          3 |         31 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\utils\streak-calculator.ts                   | TypeScript         |         32 |          3 |         11 |         46 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\utils\streak-freeze.ts                       | TypeScript         |         66 |          3 |         18 |         87 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\utils\streak-punishment.ts                   | TypeScript         |         59 |         11 |         17 |         87 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\notifications\hooks\use-streak-risk-notification.ts | TypeScript         |         27 |          4 |          5 |         36 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\notifications\utils\notification-service.ts         | TypeScript         |        131 |          0 |         29 |        160 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\shop\components\rarity-badge.tsx                    | TypeScript JSX     |         31 |          0 |          5 |         36 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\shop\components\shop-item-card.tsx                  | TypeScript JSX     |        126 |          1 |          7 |        134 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\shop\stores\shop-store.ts                           | TypeScript         |         95 |          5 |         25 |        125 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\social\hooks\use-leaderboard.ts                     | TypeScript         |         55 |          2 |         11 |         68 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\social\stores\challenges-store.ts                   | TypeScript         |         95 |          0 |         13 |        108 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\features\social\stores\friends-store.ts                      | TypeScript         |        107 |          4 |         24 |        135 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\lib\constants\categories.ts                                  | TypeScript         |         21 |          0 |          5 |         26 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\lib\constants\game-config.ts                                 | TypeScript         |         61 |          1 |          9 |         71 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\lib\storage\mmkv.ts                                          | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\lib\supabase\client.ts                                       | TypeScript         |         30 |          0 |          5 |         35 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\lib\supabase\types.ts                                        | TypeScript         |        659 |          2 |         10 |        671 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\types\habit.ts                                               | TypeScript         |         23 |          0 |          4 |         27 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\types\user.ts                                                | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\ui\animations\completion-burst.tsx                           | TypeScript JSX     |         73 |          0 |         11 |         84 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\ui\animations\level-up-overlay.tsx                           | TypeScript JSX     |        132 |          4 |         14 |        150 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\ui\animations\xp-toast.tsx                                   | TypeScript JSX     |         74 |          2 |         11 |         87 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\ui\components\pixel-button.tsx                               | TypeScript JSX     |         75 |          0 |          4 |         79 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\ui\components\pixel-input.tsx                                | TypeScript JSX     |         48 |          0 |          4 |         52 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\ui\theme\themes.ts                                           | TypeScript         |         81 |          0 |          4 |         85 |
| c:\Users\Boungo\Desktop\perso\levelUp\src\ui\theme\tokens.ts                                           | TypeScript         |         40 |          0 |          4 |         44 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00001_create_profiles.sql                    | SQLite             |         21 |          6 |          6 |         33 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00002_create_habits.sql                      | SQLite             |         23 |          4 |          7 |         34 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00003_create_completions.sql                 | SQLite             |         27 |          4 |          5 |         36 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00004_create_streaks.sql                     | SQLite             |         36 |          4 |          6 |         46 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260329104340_create_profile_trigger.sql    | SQLite             |         18 |          1 |          2 |         21 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260329104829_add_increment_xp_function.sql | SQLite             |         25 |          4 |          3 |         32 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405140000_v1_social_and_currency.sql    | SQLite             |         95 |         30 |         25 |        150 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405160000_v2_shop_and_avatar.sql        | SQLite             |        125 |         34 |         36 |        195 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405170000_achievements.sql              | SQLite             |         59 |         17 |         14 |         90 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405171000_add_gold_rpc.sql              | SQLite             |         11 |          1 |          1 |         13 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405180000_punishment_rpc.sql            | SQLite             |         36 |          4 |          4 |         44 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405190000_extended_cosmetics.sql        | SQLite             |         19 |          6 |          2 |         27 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405200000_daily_quests.sql              | SQLite             |        155 |         30 |         33 |        218 |
| c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260406100000_habit_content.sql             | SQLite             |          9 |          3 |          3 |         15 |
| c:\Users\Boungo\Desktop\perso\levelUp\tsconfig.json                                                    | JSON with Comments |         19 |          0 |          1 |         20 |
| Total                                                                                                  |                    |     25,094 |        341 |      1,088 |     26,523 |
+--------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
